letter,blue_color,blue_motion_type,blue_rotation_direction,blue_start_location,blue_end_location,blue_turns,blue_start_orientation,blue_end_orientation,red_color,red_motion_type,red_rotation_direction,red_start_location,red_end_location,red_turns,red_start_orientation,red_end_orientation,blue_optimal_location_x,blue_optimal_location_y,red_optimal_location_x,red_optimal_location_y
U,blue,anti,cw,s,e,0,in,out,red,pro,ccw,e,n,0,in,out,,,,
U,blue,anti,cw,e,n,0,in,out,red,pro,ccw,n,w,0,in,out,,,,
U,blue,pro,ccw,s,e,0,in,out,red,anti,cw,w,s,0,in,out,,,,
U,blue,anti,ccw,n,e,0,in,out,red,pro,cw,e,s,0,in,out,,,,
U,blue,anti,ccw,s,w,0,in,out,red,pro,cw,w,n,0,in,out,,,,
U,blue,pro,ccw,e,n,0,in,out,red,anti,cw,s,e,0,in,out,,,,
U,blue,pro,ccw,w,s,0,in,out,red,anti,cw,n,w,0,in,out,,,,
U,blue,anti,ccw,e,s,0,in,out,red,pro,cw,s,w,0,in,out,,,,
V,blue,pro,cw,n,e,0,in,out,red,anti,ccw,e,s,0,in,out,,,,
V,blue,pro,cw,s,w,0,in,out,red,anti,ccw,w,n,0,in,out,,,,
V,blue,pro,cw,w,n,0,in,out,red,anti,ccw,n,e,0,in,out,,,,
V,blue,anti,ccw,w,n,0,in,out,red,pro,cw,s,w,0,in,out,,,,
V,blue,pro,ccw,n,w,0,in,out,red,anti,cw,w,s,0,in,out,,,,
V,blue,anti,ccw,s,w,0,in,out,red,pro,cw,e,s,0,in,out,,,,
V,blue,anti,ccw,n,e,0,in,out,red,pro,cw,w,n,0,in,out,,,,
V,blue,anti,ccw,e,s,0,in,out,red,pro,cw,n,e,0,in,out,,,,
V,blue,anti,cw,n,w,0,in,out,red,pro,ccw,e,n,0,in,out,,,,
V,blue,anti,cw,s,e,0,in,out,red,pro,ccw,w,s,0,in,out,,,,
V,blue,pro,cw,e,s,0,in,out,red,anti,ccw,s,w,0,in,out,,,,
V,blue,anti,cw,e,n,0,in,out,red,pro,ccw,s,e,0,in,out,,,,
V,blue,pro,ccw,e,n,0,in,out,red,anti,cw,n,w,0,in,out,,,,
V,blue,pro,ccw,s,e,0,in,out,red,anti,cw,e,n,0,in,out,,,,
V,blue,pro,ccw,w,s,0,in,out,red,anti,cw,s,e,0,in,out,,,,
V,blue,anti,cw,w,s,0,in,out,red,pro,ccw,n,w,0,in,out,,,,
W,blue,static,None,e,e,0,in,out,red,pro,cw,s,w,0,in,out,,,,
W,blue,pro,cw,e,s,0,in,out,red,static,None,n,n,0,in,out,,,,
W,blue,pro,cw,w,n,0,in,out,red,static,None,s,s,0,in,out,,,,
W,blue,pro,cw,n,e,0,in,out,red,static,None,w,w,0,in,out,,,,
W,blue,pro,ccw,e,n,0,in,out,red,static,None,s,s,0,in,out,,,,
W,blue,pro,ccw,n,w,0,in,out,red,static,None,e,e,0,in,out,,,,
W,blue,pro,ccw,w,s,0,in,out,red,static,None,n,n,0,in,out,,,,
W,blue,pro,ccw,s,e,0,in,out,red,static,None,w,w,0,in,out,,,,
W,blue,static,None,n,n,0,in,out,red,pro,cw,e,s,0,in,out,,,,
W,blue,static,None,s,s,0,in,out,red,pro,cw,w,n,0,in,out,,,,
W,blue,pro,cw,s,w,0,in,out,red,static,None,e,e,0,in,out,,,,
W,blue,static,None,w,w,0,in,out,red,pro,cw,n,e,0,in,out,,,,
W,blue,static,None,w,w,0,in,out,red,pro,ccw,s,e,0,in,out,,,,
W,blue,static,None,s,s,0,in,out,red,pro,ccw,e,n,0,in,out,,,,
W,blue,static,None,e,e,0,in,out,red,pro,ccw,n,w,0,in,out,,,,
W,blue,static,None,n,n,0,in,out,red,pro,ccw,w,s,0,in,out,,,,
X,blue,static,None,s,s,0,in,out,red,anti,ccw,w,n,0,in,out,,,,
X,blue,anti,ccw,e,s,0,in,out,red,static,None,n,n,0,in,out,,,,
X,blue,anti,ccw,s,w,0,in,out,red,static,None,e,e,0,in,out,,,,
X,blue,anti,ccw,w,n,0,in,out,red,static,None,s,s,0,in,out,,,,
X,blue,static,None,w,w,0,in,out,red,anti,ccw,n,e,0,in,out,,,,
X,blue,anti,ccw,n,e,0,in,out,red,static,None,w,w,0,in,out,,,,
X,blue,anti,cw,e,n,0,in,out,red,static,None,s,s,0,in,out,,,,
X,blue,static,None,w,w,0,in,out,red,anti,cw,s,e,0,in,out,,,,
X,blue,anti,cw,n,w,0,in,out,red,static,None,e,e,0,in,out,,,,
X,blue,anti,cw,w,s,0,in,out,red,static,None,n,n,0,in,out,,,,
X,blue,static,None,e,e,0,in,out,red,anti,cw,n,w,0,in,out,,,,
