         955577 function calls (954009 primitive calls) in 28.672 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      360    0.001    0.000    0.007    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:221(get_letter_group)
        4    0.000    0.000    0.007    0.002 d:\CODE\Apps\Sequence_Constructor\events\drag.py:107(place_arrow_on_graphboard)
      193    0.002    0.000    0.006    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:349(update_staffs)
      360    0.005    0.000    0.005    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:229(<dictcomp>)
      360    0.002    0.000    0.005    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:207(get_specific_start_end_locations)
        8    0.000    0.000    0.005    0.001 d:\CODE\Apps\Sequence_Constructor\objects\arrow\arrow.py:240(update_for_new_quadrant)
        1    0.000    0.000    0.005    0.005 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:41(__init__)
        1    0.000    0.000    0.005    0.005 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:52(initialize_components)
       14    0.005    0.000    0.005    0.000 {built-in method setLayout}
        1    0.000    0.000    0.005    0.005 d:\CODE\Apps\Sequence_Constructor\utilities\layout_manager.py:35(settingsure_main_layout)
    18370    0.004    0.000    0.005    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\xml\etree\ElementPath.py:207(select)
        4    0.000    0.000    0.005    0.001 d:\CODE\Apps\Sequence_Constructor\objects\arrow\arrow.py:106(mouseReleaseEvent)
      799    0.002    0.000    0.004    0.000 d:\CODE\Apps\Sequence_Constructor\events\drag.py:146(is_over_graphboard)
     1473    0.004    0.000    0.004    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\xml\etree\ElementPath.py:360(iterfind)
        1    0.000    0.000    0.004    0.004 d:\CODE\Apps\Sequence_Constructor\utilities\json_handler.py:10(load_all_letters)
      761    0.004    0.000    0.004    0.000 {built-in method setText}
     1822    0.001    0.000    0.004    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\encodings\cp1252.py:22(decode)
     4569    0.004    0.000    0.004    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\enum.py:1093(__new__)
      110    0.004    0.000    0.004    0.000 {built-in method render}
      222    0.001    0.000    0.004    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_buttons.py:41(show_buttons)
       11    0.000    0.000    0.003    0.000 d:\CODE\Apps\Sequence_Constructor\objects\arrow\arrow.py:11(__init__)
       34    0.000    0.000    0.003    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:373(set_blank_renderer)
        1    0.000    0.000    0.003    0.003 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard_init.py:10(__init__)
        4    0.000    0.000    0.003    0.001 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\arrowbox\arrowbox.py:74(mousePressEvent)
      299    0.003    0.000    0.003    0.000 {built-in method setPixmap}
       96    0.001    0.000    0.003    0.000 d:\CODE\Apps\Sequence_Constructor\objects\arrow\arrow.py:51(_setup_graphics_flags)
      888    0.002    0.000    0.003    0.000 {built-in method findChild}
     1822    0.003    0.000    0.003    0.000 {built-in method _codecs.charmap_decode}
     3118    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
     2578    0.002    0.000    0.002    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:275(point_in_quadrant)
        2    0.000    0.000    0.002    0.001 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard_init.py:32(init_grid)
     1132    0.002    0.000    0.002    0.000 {built-in method setPos}
       11    0.000    0.000    0.002    0.000 d:\CODE\Apps\Sequence_Constructor\objects\arrow\arrow.py:22(_setup)
       86    0.001    0.000    0.002    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\infobox\infobox_labels.py:130(get_start_end_positions)
     4087    0.002    0.000    0.002    0.000 {function MainWidget.eventFilter at 0x000001E32E519C60}
     1175    0.002    0.000    0.002    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\enum.py:192(__get__)
      489    0.002    0.000    0.002    0.000 {built-in method setSharedRenderer}
      146    0.001    0.000    0.002    0.000 d:\CODE\Apps\Sequence_Constructor\objects\arrow\arrow.py:201(update_rotation)
      378    0.002    0.000    0.002    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:158(get_state)
       33    0.000    0.000    0.002    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\json\__init__.py:274(load)
        2    0.000    0.000    0.002    0.001 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard_init.py:45(init_staff_set)
      319    0.001    0.000    0.002    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:134(set_default_staff_locations)
     1900    0.001    0.000    0.002    0.000 {built-in method builtins.delattr}
      360    0.001    0.000    0.002    0.000 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\graphboard\graphboard.py:217(get_overall_position)
        1    0.000    0.000    0.002    0.002 d:\CODE\Apps\Sequence_Constructor\widgets\graph_editor\arrowbox\arrowbox.py:16(__init__)
      124    0.000    0.000    0.002    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\enum.py:470(__prepare__)
      235    0.000    0.000    0.002    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:225(compile)
       11    0.000    0.000    0.002    0.000 d:\CODE\Apps\Sequence_Constructor\objects\arrow\arrow.py:26(_setup_attributes)
        1    0.000    0.000    0.002    0.002 d:\CODE\Apps\Sequence_Constructor\main.py:23(init_ui)
